Ont name,Classification time (ms),Reasoner
0977b261-5fb8-4c32-abe5-8092d0fb891d_Pizza.owl_functional.owl,2650,HERMIT
09895c00-f3b8-4f75-8d5f-06ee75e2859e_core.rdf_functional.owl,1665.5,HERMIT
099373f7-8afb-4259-adc4-3296d9d6c1e9_c_20090509.rdf_functional.owl,2778,HERMIT
09a3797b-7e7d-48b2-95cd-cf138393db28_stateWave.owl_functional.owl,222051.5,HERMIT
09a747bc-6003-43b5-8321-3b099302be23__rectifier.rdf_functional.owl,2721.5,HERMIT
DMEX.owl_functional.owl,1794.5,HERMIT
09bdd70e-ae4b-40c7-b528-14d505e5599e_nFramework.owl_functional.owl,2765.5,HERMIT
09d2807f-d8a1-4e15-8fbe-d15627f469e7_a_symptom.owl2_functional.owl,2445,HERMIT
09e75e49-a3b6-4326-b42b-15b53069176c_ezeichnungen_P_functional.owl,2109,HERMIT
09fe783a-e2e5-4cae-ac98-2fd4607fd422_dtn.owl_functional.owl,2941.5,HERMIT
0a0136fd-cd88-41a6-a3da-83380dc0af18_Heilpflanzen_E_functional.owl,2024.5,HERMIT
0a0e1f44-d8bb-4979-9f33-b6004957cf8d_universe.owl_functional.owl,3222,HERMIT
0a14088a-e04e-456f-bd1d-5a6cef9e7242_tingPolicy.owl_functional.owl,2490.5,HERMIT
0a245aab-5c71-4483-abc7-5df16ae9c794_Bow_saw.rdf_functional.owl,2292,HERMIT
0a435c56-b3a2-4a6d-85ed-aec812144793_nt_anatomy.obo_functional.owl,1631,HERMIT
0a47680d-68aa-4f76-ac23-b7995492295d_Park.owl_functional.owl,1473,HERMIT
0a79395c-92c6-4b9f-99f1-c25649174dac_fma.owl_functional.owl,102578.5,HERMIT
0a8113ee-d5c4-4924-9114-45af0135a0a7_Rock_candy.ttl_functional.owl,2033,HERMIT
0a96c099-bca4-45f3-bc94-cda47e8f61f6_evelopment.obo_functional.owl,1295,HERMIT
0a96f2f6-3ed4-4314-bf07-7b5c73834cdd_ll.owl.CURRENT_functional.owl,36055,HERMIT
0aa1fe44-aa68-4088-986b-2c97f5acd5d7_nverzeichnis_J_functional.owl,1646,HERMIT
0abccd8e-2b19-4af2-a0b8-0548d21854b2_dataset.owl_functional.owl,4542.5,HERMIT
0acdf7e5-cecf-4edd-941b-a63b60285b8d_EnergyFlux.owl_functional.owl,323147.5,HERMIT
0aced593-5017-4cac-b5e8-0c48adf94a23_ura_loenpa.ttl_functional.owl,5268,HERMIT
0ad107d2-d5ee-432b-9778-f201de1608d9_artecontemp.owl_functional.owl,2470,HERMIT
0ad27e71-c295-409a-9383-ae174116b670_onto.rdf_functional.owl,2142,HERMIT
